DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
Wavelet,{},001,1,17.153149116318204,20.64365559110388,0.4337904810779523,0.00979304313659668
Wavelet,{},002,1,27.053816847591705,29.353831967492848,0.7071926086205006,0.009959936141967773
Wavelet,{},003,1,19.493829413061906,23.587270913183783,0.559412121209881,0.010677814483642578
Wavelet,{},004,1,18.985572512564367,22.70627567833256,0.5380521359459142,0.00931406021118164
Wavelet,{},005,1,23.75194191514932,24.06656585344086,0.5351968169541496,0.009741783142089844
Wavelet,{},006,1,17.864843189339453,21.812342771381775,0.4441200486191527,0.009309768676757812
Wavelet,{},007,1,24.005226627721413,29.347308420523255,0.7233275117322925,0.009134292602539062
Wavelet,{},008,1,26.91166323921099,29.349645879136006,0.7216787062395628,0.009202241897583008
Wavelet,{},009,1,25.986272298362447,26.651118960496156,0.6193363549570216,0.009095907211303711
Wavelet,{},010,1,30.22139652545328,30.675869147265367,0.7641331817076191,0.009585857391357422
Wavelet,{},011,1,21.764465452410903,25.400771840825254,0.5997359097904863,0.0089569091796875
Wavelet,{},012,1,28.38903856533607,29.10737533371373,0.6490522872948368,0.009031057357788086
Wavelet,{},013,1,31.526454657255933,31.616711286730315,0.7432615427354574,0.009086132049560547
Wavelet,{},014,1,22.023454000914064,24.937700863082654,0.5742089316507295,0.010075092315673828
Wavelet,{},015,1,22.653807526634232,25.719739780036615,0.6164160903748421,0.009962081909179688
Wavelet,{},016,1,16.76091608043821,23.939615091121173,0.5567192957236966,0.010101079940795898
Wavelet,{},017,1,18.798267428229135,22.20587262718341,0.4421539145913188,0.010663986206054688
Wavelet,{},018,1,24.79638423770917,25.09180806096353,0.4825770398397467,0.010053157806396484
Wavelet,{},019,1,22.954060790189175,23.996420184041817,0.4704816703953804,0.008244991302490234
Wavelet,{},020,1,25.69378129270043,26.930658657681683,0.6098809843595707,0.008445024490356445
Wavelet,{},021,1,21.196616432001477,23.11146674898403,0.49822666281383404,0.00947260856628418
Wavelet,{},022,1,18.875107570822014,26.966244994007667,0.5881514126440123,0.00821828842163086
Wavelet,{},023,1,13.621807318591536,20.472793424803175,0.46657217917963106,0.010365962982177734
Wavelet,{},024,1,24.663026663582407,25.248542862900152,0.47631655732808015,0.008219003677368164
Wavelet,{},025,1,22.832034887542626,29.47815041944892,0.5139676099293634,0.008893251419067383
Wavelet,{},026,1,23.491494648965634,24.463559705664647,0.4772466647568683,0.011842012405395508
Wavelet,{},027,1,21.146538027119917,23.38084327443177,0.5399964760327577,0.008543968200683594
Wavelet,{},028,1,19.531483991008983,22.17312093332499,0.44342494898456486,0.008051156997680664
Wavelet,{},029,1,26.559344611445983,27.189012292902515,0.49226516360406797,0.008008956909179688
Wavelet,{},030,1,19.502348220178412,23.30705507217768,0.5585308740595178,0.00849294662475586
Wavelet,{},031,1,23.097814610843606,26.769232320216823,0.5873380901755789,0.008334159851074219
Wavelet,{},032,1,25.214750767892433,28.027964064453514,0.6260597432612706,0.00817418098449707
Wavelet,{},033,1,25.099703645477685,26.72193849421301,0.5543158104283308,0.008553028106689453
Wavelet,{},034,1,26.187966639705227,26.314263085039215,0.5094550604978298,0.008295059204101562
Wavelet,{},035,1,22.590352329839142,25.572781716404247,0.5601888626576649,0.008262872695922852
Wavelet,{},036,1,24.81002388015401,25.23001488498093,0.4938736907831432,0.009383916854858398
Wavelet,{},037,1,24.222917857769378,25.16826364410031,0.4892560133226699,0.009320974349975586
Wavelet,{},038,1,19.573730292649877,23.901627382971164,0.5392814622683915,0.00855112075805664
Wavelet,{},039,1,26.026061649879203,27.34295648598646,0.64808263452646,0.00935506820678711
Wavelet,{},040,1,26.76518124786865,27.7414076881927,0.6521334749302335,0.00908207893371582
Wavelet,{},041,1,21.842451546327638,24.034695402641297,0.5353364971428192,0.008968114852905273
Wavelet,{},042,1,27.24334232720915,27.991214692297604,0.6533424299412827,0.009072065353393555
Wavelet,{},043,1,28.087725845711585,28.641914898609002,0.5797259794433934,0.007747173309326172
Wavelet,{},044,1,19.720294579406545,23.73493316318367,0.5278626524635259,0.008519887924194336
Wavelet,{},045,1,26.15340340763008,26.180540710270286,0.5400225340546474,0.008397817611694336
Wavelet,{},046,1,29.256669297230623,29.45763547638279,0.5929506965456154,0.008535146713256836
Wavelet,{},047,1,22.72917681409341,24.120058863322704,0.5306554035943619,0.007941961288452148
Wavelet,{},048,1,14.572741777806034,21.622079812091588,0.5169759542389197,0.008476018905639648
Wavelet,{},049,1,21.635137935326775,24.004045704909736,0.5276958839942898,0.009219884872436523
Wavelet,{},050,1,19.868127902559568,22.43395123493944,0.4978527640179411,0.008517265319824219
Wavelet,{},051,1,21.754385528364594,23.04206522777251,0.46187048348333004,0.0077097415924072266
Wavelet,{},052,1,31.67257229407271,31.72771791092454,0.7475778300412478,0.009181976318359375
Wavelet,{},053,1,22.04205040552869,24.217048796223555,0.5581851376108756,0.009407281875610352
Wavelet,{},054,1,21.53116450922058,22.714739545386852,0.4959780585553414,0.00933980941772461
Wavelet,{},055,1,25.24428108100777,25.445307179394064,0.4752369464639187,0.009397029876708984
Wavelet,{},056,1,27.694707187976697,28.59310646026031,0.621275398632795,0.009335994720458984
Wavelet,{},057,1,18.821089121414822,25.088570297850637,0.5554639246402013,0.009389877319335938
Wavelet,{},058,1,23.407880603653773,24.297916472146753,0.5222854519756391,0.00929117202758789
Wavelet,{},059,1,14.148091661393387,20.520930603555577,0.4795974121874589,0.009983062744140625
Wavelet,{},060,1,21.994158451689177,22.83590344889726,0.4799137691817236,0.009241104125976562
Wavelet,{},061,1,24.480719990533206,25.411241411526923,0.4660358260790773,0.009257078170776367
Wavelet,{},062,1,15.92436948196173,22.011782450585468,0.43940300090592044,0.009520769119262695
Wavelet,{},063,1,22.444337063343987,23.25092573425905,0.4747768521855254,0.009325742721557617
Wavelet,{},064,1,22.500974940207136,24.3434270644845,0.5275860962401505,0.009498119354248047
Wavelet,{},065,1,20.512343759908383,21.96405664615414,0.48394928533101356,0.009411096572875977
Wavelet,{},066,1,18.022402805836922,20.054885776911643,0.4949914912936498,0.009337902069091797
Wavelet,{},067,1,22.406013089033017,27.658583494215385,0.41805072902047813,0.009896993637084961
Wavelet,{},068,1,25.7742465623113,26.59595063977017,0.4975260376159143,0.009106159210205078
Wavelet,{},069,1,27.704926630102086,30.795685726285033,0.6138927623760554,0.009718894958496094
Wavelet,{},070,1,20.24462837498782,28.043620908301648,0.6158381091925039,0.009375810623168945
Wavelet,{},071,1,18.044124883575645,22.38665654206239,0.5384880179801097,0.010078907012939453
Wavelet,{},072,1,18.32390259187291,24.650270213299375,0.5637708999152462,0.009952068328857422
Wavelet,{},073,1,22.340240733351088,24.754451282137566,0.560143378304993,0.008240938186645508
Wavelet,{},074,1,25.290546896740253,30.254645911918413,0.5399799993731964,0.00896310806274414
Wavelet,{},075,1,27.00639991995847,27.77653778071306,0.6494202464087968,0.008599042892456055
Wavelet,{},076,1,14.719474628487841,19.781640181318146,0.4823204094257839,0.008496999740600586
Wavelet,{},077,1,26.50885721945,30.145074080755364,0.5548186153119219,0.008346796035766602
Wavelet,{},078,1,23.013539252635034,26.025313208875936,0.6154924806921511,0.00830388069152832
Wavelet,{},079,1,25.530855712045437,26.98006770156495,0.45464344941458956,0.008327960968017578
Wavelet,{},080,1,22.485774050228375,28.31530203667045,0.6668231720940645,0.008568048477172852
Wavelet,{},081,1,25.15718077418874,25.464084488125188,0.4468376072835105,0.00843191146850586
Wavelet,{},082,1,22.899902703814075,25.43434802883453,0.5523674778241577,0.008348941802978516
Wavelet,{},083,1,17.27952836144286,23.752019900676572,0.5105632714028296,0.008534908294677734
Wavelet,{},084,1,27.550947261347734,28.141844216843353,0.555741808207415,0.008057117462158203
Wavelet,{},085,1,16.58085653666291,25.09619470826941,0.5018355801569697,0.008008956909179688
Wavelet,{},086,1,21.84229473734451,23.998836695407185,0.5474668630397799,0.008358001708984375
Wavelet,{},087,1,25.658958088928955,26.56200664892637,0.5800534088253322,0.008645057678222656
Wavelet,{},088,1,18.56935420685695,21.933305794701575,0.47179620348240997,0.008240938186645508
Wavelet,{},089,1,22.46845014208236,22.97255976741523,0.4812892276317445,0.008038997650146484
Wavelet,{},090,1,15.97610642285712,20.390266485004133,0.48219333138165116,0.00808405876159668
Wavelet,{},091,1,18.7287613640705,22.591794651787023,0.5073954971703739,0.008050918579101562
Wavelet,{},092,1,23.280718002540077,24.128413882684754,0.504063061250624,0.00830698013305664
Wavelet,{},093,1,17.175573275280893,23.77539874230888,0.620229142191069,0.00830388069152832
Wavelet,{},094,1,23.841376031290665,25.536675582314675,0.5914765183862497,0.009639978408813477
Wavelet,{},095,1,24.599344324302052,26.81830609748825,0.6219731395549708,0.008774995803833008
Wavelet,{},096,1,23.726878535902188,24.583951124190214,0.5407513364570595,0.00848388671875
Wavelet,{},097,1,27.696392603707864,30.185336100179438,0.7354124931931139,0.008629083633422852
Wavelet,{},098,1,25.07544539114629,25.81870636852239,0.5434430640400719,0.008419036865234375
Wavelet,{},099,1,28.855280953152487,29.207766993033868,0.6966752189348913,0.008033990859985352
Wavelet,{},100,1,28.22137143026029,28.672865449519534,0.6484661874774065,0.0077059268951416016
Wavelet,{},101,1,29.631418996443053,31.22590416875952,0.6976248019895831,0.008818864822387695
Wavelet,{},102,1,23.002445539073427,24.77008856751037,0.5038945163715511,0.007885932922363281
Wavelet,{},103,1,22.544945762735416,25.064896047962065,0.5990289517251556,0.00899505615234375
Wavelet,{},104,1,26.075502529401525,27.08988468085689,0.6416492956241322,0.008554697036743164
Wavelet,{},105,1,27.283864499496882,28.559131165497313,0.5707363986032968,0.008234024047851562
Wavelet,{},106,1,28.589917204523413,28.79225457670517,0.6798671020075879,0.009330034255981445
Wavelet,{},107,1,27.842614708173446,30.909045844188455,0.7208341925812092,0.00934600830078125
Wavelet,{},108,1,19.948707779022826,24.504585745590223,0.5607969518946847,0.009395122528076172
Wavelet,{},109,1,15.378075080888694,20.951263041528563,0.4695965139044342,0.009155035018920898
Wavelet,{},110,1,23.65776277613182,27.411056834077247,0.6451868791228098,0.009650945663452148
Wavelet,{},111,1,25.246280044915164,27.5575540278805,0.6676924170331464,0.008925914764404297
Wavelet,{},112,1,22.283757042673518,25.488001003793762,0.6117347865126049,0.009553909301757812
