DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
Median,8,001,0,29.524724896038226,30.678013047548976,0.8481199274822687,0.1857137680053711
Median,8,002,0,33.82118243957218,37.10132075570214,0.9591538140396318,0.18483901023864746
Median,8,003,0,35.52072194716429,35.87708740356538,0.9501280330124859,0.18744826316833496
Median,8,004,0,35.05087632646061,36.20989090420324,0.9375103698902923,0.18635296821594238
Median,8,005,0,32.62001793695879,33.48399075186787,0.9224115735711154,0.18730902671813965
Median,8,006,0,31.25342194989614,31.785433650119998,0.8558573390968348,0.19090819358825684
Median,8,007,0,32.49849545547753,33.13352824461982,0.8866131594756904,0.18954801559448242
Median,8,008,0,32.17685292551605,32.27614835295532,0.8720931423063917,0.18582510948181152
Median,8,009,0,31.813192350989095,32.018839822707875,0.8699169362641048,0.18609118461608887
Median,8,010,0,30.699628939737007,31.28971829537324,0.8377005292555323,0.1881101131439209
Median,8,011,0,32.9328631368342,34.099159640929656,0.9002071850710557,0.18452215194702148
Median,8,012,0,30.916300286113618,32.500256516287386,0.8591267149396327,0.18682479858398438
Median,8,013,0,27.915174000087532,30.09810466555374,0.8036264805089671,0.18776869773864746
Median,8,014,0,32.69707492741911,32.786100326561616,0.884117658121459,0.1833207607269287
Median,8,015,0,33.74351396377459,34.152414532564556,0.9189023575088671,0.18051505088806152
Median,8,016,0,31.8458489031863,32.10210997526939,0.8571610326696631,0.18696808815002441
Median,8,017,0,29.89910569019684,30.708681789783334,0.8456933746768743,0.18210577964782715
Median,8,018,0,33.05415783890563,33.14235013956131,0.904927912859156,0.18700218200683594
Median,8,019,0,33.31799221864324,34.52808902600217,0.9158410839413463,0.1825399398803711
Median,8,020,0,28.244888172373873,28.48683265542535,0.7497525273514271,0.18453097343444824
Median,8,021,0,27.75934671731475,28.460392704563212,0.7726327692661715,0.1950390338897705
Median,8,022,0,31.05488299156169,33.22398418512139,0.8727588404693989,0.20647239685058594
Median,8,023,0,30.377882851027636,33.57861604175661,0.8938529308332788,0.1997978687286377
Median,8,024,0,29.08601386162094,31.48326446594392,0.8825662068676042,0.1980438232421875
Median,8,025,0,24.934615207420144,34.01963202687003,0.8050292560014255,0.19690799713134766
Median,8,026,0,31.059662805448042,34.118872636033785,0.9266540109498862,0.1993579864501953
Median,8,027,0,35.92267119371077,35.96142299300076,0.9551907547218744,0.19635868072509766
Median,8,028,0,26.34378081620266,33.72736345047866,0.8834361693447809,0.19840621948242188
Median,8,029,0,29.3209780009124,33.23910660651662,0.8978789267232038,0.19405627250671387
Median,8,030,0,29.988372120867144,32.60539029364389,0.8747581536596458,0.19897699356079102
