DenoiserType,Parameter,Channel,PSNR,SI-PSNR,SSIM
Median,8,0,31.085812117148247,33.24174274737261,0.8952942039215103
Median,8,1,23.16411978648582,31.50851227145612,0.7281465299533755
Median,8,2,29.795241750389913,33.636515466855215,0.7892068234938087
