DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
Median,8,001,2,29.63820167876824,29.89691667404707,0.698311325831424,0.19038176536560059
Median,8,002,2,31.628890150677535,37.61975527643587,0.8925917697445892,0.1904280185699463
Median,8,003,2,36.63674764793682,37.11030805503584,0.9162485989876455,0.19131088256835938
Median,8,004,2,28.97036900867521,29.941236353308106,0.7488195526062235,0.18480730056762695
Median,8,005,2,27.60475132354388,30.46684802651344,0.7834321988897436,0.19258379936218262
Median,8,006,2,27.192726691353187,28.87678817515406,0.6277869481193482,0.20460176467895508
Median,8,007,2,32.199858485308326,38.87896753995523,0.9396073477922161,0.20390105247497559
Median,8,008,2,31.45497312238013,38.58246722819041,0.9357520594681217,0.20415091514587402
Median,8,009,2,36.65228362291353,37.44462179849784,0.9376531225356501,0.20496916770935059
Median,8,010,2,38.038271006177304,40.02835237460502,0.9493525374264122,0.20392704010009766
Median,8,011,2,28.059978913924382,37.13517140647297,0.8399956960514038,0.20242714881896973
Median,8,012,2,32.087637539359186,40.99338206989921,0.938199290361479,0.20303797721862793
Median,8,013,2,28.73707050063777,34.575500793891635,0.8539178857906555,0.19959020614624023
Median,8,014,2,30.311725331022657,37.10613243168045,0.8529067021489628,0.19520306587219238
Median,8,015,2,31.088088526791395,36.11318179102539,0.8714577100843601,0.19129204750061035
Median,8,016,2,35.27959460509659,37.551494209493605,0.9247275061524336,0.19216418266296387
Median,8,017,2,24.79099444716985,26.73102603702905,0.5778897544060241,0.19140100479125977
Median,8,018,2,28.179831518307402,28.6402290436272,0.6112530088049252,0.19119000434875488
Median,8,019,2,31.464344586481268,35.578905301981735,0.8450550388328429,0.1913919448852539
Median,8,020,2,28.2526587211699,29.574413585561064,0.6736239272368698,0.19658589363098145
Median,8,021,2,29.655940337143427,29.73913878727751,0.6827918027650123,0.19398117065429688
Median,8,022,2,31.40897962069154,31.453920082142112,0.7509389492273775,0.19486379623413086
Median,8,023,2,30.087084457086007,35.557861716269514,0.8333571750984293,0.1904768943786621
Median,8,024,2,20.951350364075928,33.48218599289102,0.6966071736132908,0.1901991367340088
Median,8,025,2,28.35082099447871,28.90239941721238,0.6397745243318675,0.19173192977905273
Median,8,026,2,31.3447516277055,32.29599767853986,0.8034249945515988,0.1898503303527832
Median,8,027,2,28.608220217349153,36.2236705999696,0.8669672579499952,0.1905200481414795
Median,8,028,2,30.688577605822054,37.31346138223397,0.8911412353725437,0.19082188606262207
Median,8,029,2,25.31718498918478,34.797801429868606,0.796265722028766,0.19021892547607422
Median,8,030,2,27.89721869507126,32.85925593840035,0.8052378975948549,0.1907179355621338
Median,8,031,2,31.44287010529232,31.482080460584683,0.7631887833028327,0.2115459442138672
Median,8,032,2,31.4259581489012,32.481726215904544,0.820890927179289,0.19086003303527832
Median,8,033,2,26.187047255796465,31.352753932174508,0.7723950603453348,0.19478726387023926
Median,8,034,2,30.131730247488463,31.242747611695634,0.7836885050971478,0.20447516441345215
Median,8,035,2,23.86056238946662,36.55024402791736,0.8575220880858376,0.20438408851623535
Median,8,036,2,30.781564639957555,38.471911041354076,0.9184130922152768,0.2031099796295166
Median,8,037,2,30.958340653908344,38.26855337065343,0.9156169471586526,0.20435190200805664
Median,8,038,2,35.59321171818472,36.68067620474964,0.8962731752108405,0.20370721817016602
Median,8,039,2,29.282589862463524,34.48228213327209,0.8590086769581264,0.20207691192626953
Median,8,040,2,37.66862979318711,40.71920397478732,0.9621375111383145,0.1975560188293457
Median,8,041,2,30.6341875572871,36.564780369480296,0.8888007474005214,0.19640898704528809
Median,8,042,2,28.194365127278743,33.225058022998404,0.8202374495453818,0.19215703010559082
Median,8,043,2,30.899281161056077,31.788998343749512,0.7963137248765737,0.1915571689605713
Median,8,044,2,35.1685607814574,41.0534120997498,0.9475249762137837,0.19127607345581055
Median,8,045,2,24.04980663883873,32.15716218459937,0.7510021171501376,0.19184184074401855
Median,8,046,2,28.391364395075826,34.97310660691624,0.8491223615362424,0.19097232818603516
Median,8,047,2,31.12000683619964,35.21993486729963,0.8537286766600287,0.19931387901306152
Median,8,048,2,29.23956927825023,34.43842175637193,0.8340720604444053,0.19524717330932617
Median,8,049,2,28.567756830349886,35.059296054572755,0.8526356646402119,0.19186782836914062
Median,8,050,2,31.768363451515814,36.14036001904331,0.8788326166336057,0.19593310356140137
Median,8,051,2,24.121511399648337,31.26944562878185,0.701195556245636,0.1949329376220703
Median,8,052,2,22.56132854082596,24.95805093851532,0.45642423011951944,0.19474101066589355
Median,8,053,2,20.596287415437192,31.660039719273378,0.591863706697255,0.18914484977722168
Median,8,054,2,34.93324313288559,37.22078419730502,0.9149126967591529,0.19042110443115234
Median,8,055,2,35.50256617861842,39.86766312092773,0.926064738456778,0.19032907485961914
Median,8,056,2,24.46575845399126,24.750938328928772,0.4370620531295134,0.18813300132751465
Median,8,057,2,23.218510156626518,30.34327320806279,0.6312366172904535,0.1902787685394287
Median,8,058,2,30.430228936632172,32.96335872302543,0.8112316694204253,0.18851923942565918
Median,8,059,2,29.14664050602079,29.543219046340038,0.6596010169271699,0.19024896621704102
Median,8,060,2,22.856050232682648,27.045716912767134,0.4796007634836342,0.18915319442749023
Median,8,061,2,32.76593827262794,32.78111478140779,0.7992644382900376,0.1895618438720703
Median,8,062,2,31.42188145896762,31.492654416115762,0.7485146554819253,0.18942499160766602
Median,8,063,2,27.36524120175424,27.40980998860725,0.5757582293707176,0.19817805290222168
Median,8,064,2,33.82395167191866,35.64415305894583,0.875518352401567,0.2051248550415039
Median,8,065,2,23.0761004610706,26.226079300050312,0.5566817665853263,0.2016918659210205
Median,8,066,2,23.713445214891404,25.071404501891603,0.4756711935143779,0.2009127140045166
Median,8,067,2,22.23238618729909,25.5073039462645,0.41273658766998117,0.19942593574523926
Median,8,068,2,20.31981655276487,27.11982163490156,0.4644182378895648,0.19976186752319336
