DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM
Median,8,001,1,26.20607353858178,29.742571480905823,0.7113699404218607
Median,8,002,1,37.70019159415055,39.75583174076671,0.9624817894152933
Median,8,003,1,21.86943511716033,29.662474991060492,0.7505496715562348
Median,8,004,1,30.942940457495563,32.256902833844904,0.8458642117448167
Median,8,005,1,24.345110282213493,33.00346708110808,0.8403069947369275
Median,8,006,1,22.519954410097093,28.600605728901584,0.662926902508566
Median,8,007,1,27.222799369603013,34.12113632480968,0.8636612128353871
Median,8,008,1,24.351314290359674,34.474836266475776,0.8586847596315739
Median,8,009,1,22.60616344655628,30.947032277637515,0.7928661997610357
Median,8,010,1,24.02585760845764,31.954830710439126,0.8103968931457807
Median,8,011,1,29.61554680124469,33.9881915381422,0.8765729993180876
Median,8,012,1,27.400405864848313,35.286888013221294,0.8835330664045264
Median,8,013,1,23.883178178535744,33.936350573253335,0.8316277923835733
Median,8,014,1,29.888521174252215,33.73226737306767,0.8727795240533365
Median,8,015,1,28.703869548169777,33.703498425527215,0.8765413489008901
Median,8,016,1,30.44481055534751,30.651600089220963,0.7860950130594587
Median,8,017,1,26.317382089684457,30.299010798051185,0.7290617739453623
Median,8,018,1,16.53707264334238,31.06950930968951,0.6165287530793684
Median,8,019,1,19.381017445737164,31.42160755973055,0.660666004270183
Median,8,020,1,20.516873880175545,30.092462864505713,0.6754362031011605
Median,8,021,1,25.18650541046993,28.648407853472087,0.6692104551833421
Median,8,022,1,28.116576709568832,28.782239124579977,0.6841705057809155
Median,8,023,1,25.83732094303468,27.550363452174334,0.6561329185813077
Median,8,024,1,22.232401204688728,34.026468223688035,0.7840370403343766
Median,8,025,1,14.472412646347838,33.03595389528081,0.4579300998144996
Median,8,026,1,23.972848152424184,33.212791808825116,0.794670992864854
Median,8,027,1,27.110549957556245,32.27180804332177,0.818833979863936
Median,8,028,1,24.21199913194939,30.99424006666288,0.7707131130095118
Median,8,029,1,20.731537427745334,34.58248223722014,0.8009277731090928
Median,8,030,1,25.301697729518228,31.079298173661737,0.7862340897450413
Median,8,031,1,26.268998213116028,28.500105320372047,0.6589185503826334
Median,8,032,1,20.399111763828245,29.68343987208936,0.6691101193754441
Median,8,033,1,29.592885358149907,34.27578566070763,0.8491900679716505
Median,8,034,1,25.886678919843106,33.888908406250174,0.8352009818928072
Median,8,035,1,29.838820163345645,35.701399519134426,0.8797674934896705
Median,8,036,1,17.46934102346882,32.13070364667926,0.729362497912201
Median,8,037,1,19.157210308922558,32.00039414582363,0.7444123557022876
Median,8,038,1,24.788500453437376,29.479646283964044,0.7640733838653017
Median,8,039,1,18.241017437060776,30.10417173049623,0.6965885017310162
Median,8,040,1,19.76629608322006,28.974737300083213,0.67257167743155
Median,8,041,1,21.175485220350232,31.596875554102816,0.7885313100451536
Median,8,042,1,15.877187089778705,29.69328974000085,0.6517194997354232
Median,8,043,1,26.023239772745583,36.31246323006445,0.8401266122355545
Median,8,044,1,24.965325201455663,29.710697720585554,0.7413804896068329
Median,8,045,1,19.864252649957347,30.89393485933664,0.7266790932695198
Median,8,046,1,14.159431001558339,35.6507579245227,0.5908565872486531
Median,8,047,1,27.802289560069443,32.705990584595675,0.8609051401770694
Median,8,048,1,29.962207701126708,30.601335370732343,0.7909171530473017
Median,8,049,1,31.911000929416865,32.502013386355486,0.8289439789159847
Median,8,050,1,27.74585870793799,30.405489994067697,0.7704254347385059
Median,8,051,1,23.61910213457041,29.588308166583978,0.6804548782846244
Median,8,052,1,18.391986672465436,33.53514228889842,0.6110276064139174
Median,8,053,1,20.59700506676134,31.002780039718914,0.7037172803911936
Median,8,054,1,23.960326108531504,29.502912519300036,0.7323535541187098
Median,8,055,1,21.53587496016825,32.33160317610702,0.7580361099835062
Median,8,056,1,16.35521679315897,31.09815937030101,0.5808094223343222
Median,8,057,1,25.40391779080118,29.267218789989315,0.6747263464307653
Median,8,058,1,23.189364969091955,31.31485570734693,0.7619361340550752
Median,8,059,1,28.699252657655666,29.054311430081952,0.6766778061562596
Median,8,060,1,21.372288717768228,29.196968081577822,0.6565745330795099
Median,8,061,1,20.854442747051568,33.20911545340578,0.7008835268000193
Median,8,062,1,29.61615332558308,29.644230868144135,0.6729908245342421
Median,8,063,1,22.70803272865049,31.13257620733576,0.7444775151346069
Median,8,064,1,19.995350642415076,29.95524453269422,0.6744012271167612
Median,8,065,1,24.66453722970291,31.45348151934444,0.7465453914066302
Median,8,066,1,23.240207627066166,29.84767830011764,0.6973978817649072
Median,8,067,1,18.94184444315467,33.926942372001875,0.6472622959920369
Median,8,068,1,22.34876825789076,33.90096449830478,0.7860498132193622
Median,8,069,1,11.985731105090228,34.449163215506935,0.4181194150555826
Median,8,070,1,27.943134642170406,29.65330944204419,0.6862349761503814
Median,8,071,1,29.56068071077891,31.048368328983855,0.7956050269260224
Median,8,072,1,28.0764245728659,28.534382635063,0.6680348493215863
Median,8,073,1,18.744140655998585,30.370629215511226,0.7011967645347771
Median,8,074,1,13.45473083943617,34.14066639588882,0.4584013925634419
Median,8,075,1,17.87270273947871,30.60563760083548,0.6697826557577563
Median,8,076,1,27.246110885340883,30.2453738003576,0.7564890417376842
Median,8,077,1,17.594017119663697,35.30119846659746,0.6811001187106848
Median,8,078,1,19.31835546353823,29.308800082648144,0.7026252635732364
Median,8,079,1,18.689030314310596,34.011285779361266,0.6456655016569526
Median,8,080,1,19.427081817877742,29.986500946626244,0.7382221454906509
Median,8,081,1,18.223515305486778,33.137440716556185,0.6865761622408709
Median,8,082,1,16.719868485624538,29.04876913451134,0.6158967333700105
Median,8,083,1,29.949670237494395,30.48054101638847,0.7139063947433278
Median,8,084,1,19.114388056814704,32.67085006434,0.7130696507526559
Median,8,085,1,26.921837283406134,28.301027017153437,0.6308919293841505
Median,8,086,1,19.00412658831081,29.655916646379445,0.6851867409854517
Median,8,087,1,21.239390601246306,29.67106565833186,0.6882078124898738
Median,8,088,1,19.93326922003243,29.186906200784787,0.6234129974395163
Median,8,089,1,18.800624517752865,30.730439055382192,0.7442789322054362
Median,8,090,1,29.66418747620188,29.763992083274022,0.7504794617408475
Median,8,091,1,25.23337030564786,28.52771087232982,0.6765200996447798
Median,8,092,1,20.793268538710606,28.989626551050446,0.6596312740606705
Median,8,093,1,33.24655547264821,33.2998593125567,0.8684617144076702
Median,8,094,1,20.655966804370138,30.503615599445343,0.7558381478879852
Median,8,095,1,21.75569545215111,30.450080410316225,0.7417561521723235
Median,8,096,1,20.357352319226223,29.748524785986127,0.744698003071918
Median,8,097,1,28.60398801650225,33.271240985044614,0.8250730843831584
Median,8,098,1,17.187158520887543,32.22811354675763,0.6829047883791274
Median,8,099,1,16.98178956816847,29.30562899626367,0.5935427642833209
Median,8,100,1,17.562466417651624,29.20337026378798,0.6098740596168056
Median,8,101,1,20.600069802363564,33.617555287370116,0.6995418894488182
Median,8,102,1,20.669174999711363,32.2996929269815,0.7278380672174805
Median,8,103,1,24.457618134091675,30.190393006716377,0.7337099482929299
Median,8,104,1,29.93988952078587,32.51061731727418,0.8682769210160568
Median,8,105,1,18.073835984389902,34.81281259663838,0.6812333717756714
Median,8,106,1,22.464597977933806,32.12796600155854,0.814036153379929
Median,8,107,1,19.673697249890253,32.63664142208085,0.7735712795488644
Median,8,108,1,24.62482956830828,26.609967750465096,0.4579538248005851
Median,8,109,1,26.20011790943845,26.33262884276746,0.5441192629972553
Median,8,110,1,24.90496233742249,29.591605740000002,0.7415397988646713
Median,8,111,1,25.96923659379385,34.80812875565418,0.8839567741752686
Median,8,112,1,30.581789746311014,33.090818577963525,0.87818987743338
Median,8,113,1,22.967487123121177,39.754742443041266,0.7283650438069433
Median,8,114,1,21.837917584986876,31.351640972386924,0.7610313154761899
Median,8,115,1,22.924566916847624,29.99100476382949,0.7702123394238571
Median,8,116,1,17.017841661872033,33.85137922437146,0.6715250307804492
Median,8,117,1,23.857099659934594,30.765935280227822,0.7939580573137084
Median,8,118,1,23.650639781664427,32.867607260321016,0.7923201116434642
Median,8,119,1,22.66479052879553,30.01735294270197,0.7243800892230638
Median,8,120,1,16.712403201157162,31.30318420585492,0.6733252844964926
