DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
Gaussian,2,001,0,29.648420029544795,32.077812690826434,0.8510990346752657,0.004979133605957031
Gaussian,2,002,0,37.028924651196434,39.50340481766911,0.9409778089018467,0.0036079883575439453
Gaussian,2,003,0,36.18739573888472,38.13416089308049,0.9540371978632173,0.0035881996154785156
Gaussian,2,004,0,36.214909263579294,37.961767064540446,0.9466159830574372,0.003470182418823242
Gaussian,2,005,0,34.00957280846002,35.442454140267394,0.9377283151189838,0.0035791397094726562
Gaussian,2,006,0,32.287187679606944,33.425131122182094,0.8543620732834826,0.003495931625366211
Gaussian,2,007,0,31.84528981157946,34.44151624521504,0.8845067965075487,0.003545045852661133
Gaussian,2,008,0,33.356486495099816,33.97068092328477,0.9008988488466577,0.0036249160766601562
Gaussian,2,009,0,31.084191701358634,33.56103195947037,0.8603598584586433,0.0036058425903320312
Gaussian,2,010,0,29.141808723418677,33.02413791065118,0.8608074436551036,0.0034830570220947266
Gaussian,2,011,0,33.60989633395483,35.50969230930412,0.8843247497559136,0.0035741329193115234
Gaussian,2,012,0,30.363582645572652,34.06575393071564,0.8774618889365272,0.003482818603515625
Gaussian,2,013,0,25.86559237130681,31.57100872818933,0.8335417075321024,0.003559112548828125
Gaussian,2,014,0,32.54288799865346,34.24106158570343,0.872615090551887,0.003584146499633789
Gaussian,2,015,0,33.40097104530387,35.64490739803092,0.9159394513660922,0.0035309791564941406
Gaussian,2,016,0,32.08026333317236,33.48211207633773,0.8695964809727363,0.00360107421875
Gaussian,2,017,0,29.54086784879066,32.115636022563486,0.8581797803685738,0.003553152084350586
Gaussian,2,018,0,34.713565492515656,35.46563300711278,0.9296298996259081,0.0035719871520996094
Gaussian,2,019,0,31.22715506808657,36.04593313665883,0.8769904633766554,0.003481149673461914
Gaussian,2,020,0,27.6561372251934,29.631200327974277,0.7571405892449826,0.003531217575073242
Gaussian,2,021,0,27.36917785882961,29.885587733983535,0.7721971266625586,0.003551006317138672
Gaussian,2,022,0,31.99638511736069,34.95954067517081,0.877998478970635,0.0035970211029052734
Gaussian,2,023,0,31.518648616362512,35.56165438970726,0.8981319409499058,0.00374603271484375
Gaussian,2,024,0,29.29269558279136,33.4903286099849,0.9087508491024094,0.004253864288330078
Gaussian,2,025,0,23.18853894243785,35.6779301653234,0.7567426782145871,0.0037047863006591797
Gaussian,2,026,0,35.23080673678911,36.48448799514979,0.9456148103472505,0.004111051559448242
Gaussian,2,027,0,35.24901590865757,37.848267132544706,0.9485151408349723,0.003863096237182617
Gaussian,2,028,0,29.873661536490367,35.932445081726215,0.9271522199538145,0.004163980484008789
Gaussian,2,029,0,27.622502944806904,34.98788526490663,0.8754366008631761,0.0038080215454101562
Gaussian,2,030,0,30.00319246360729,34.753174747059276,0.9056269647035167,0.003928184509277344
Gaussian,2,031,0,33.72845376634043,37.71353788669872,0.9301015300881919,0.0038950443267822266
Gaussian,2,032,0,32.5711595641437,35.42791114292087,0.8878239496963212,0.003920316696166992
Gaussian,2,033,0,35.69723276775061,39.15589678024602,0.9572868405444368,0.003893136978149414
Gaussian,2,034,0,29.937319378668082,34.99638866408818,0.878313783608099,0.003812074661254883
Gaussian,2,035,0,35.43544792511718,38.59924265181223,0.9565161707845012,0.003980159759521484
Gaussian,2,036,0,30.83176084081736,36.085197469684516,0.9245538647648738,0.0038132667541503906
Gaussian,2,037,0,31.977168132000223,35.30142184608578,0.933311491007018,0.003803253173828125
Gaussian,2,038,0,29.917310889097767,42.709405950595055,0.9361879301007866,0.003773212432861328
Gaussian,2,039,0,35.31692955652424,35.393926490695094,0.9414016620986568,0.0038518905639648438
Gaussian,2,040,0,32.70521366695188,35.532822856262634,0.9363315865148459,0.003840923309326172
Gaussian,2,041,0,33.7451785304924,35.03187487461477,0.921034494091351,0.003929853439331055
Gaussian,2,042,0,31.88758023921542,34.190541810337145,0.9309046545859216,0.003933906555175781
Gaussian,2,043,0,31.4391726399777,36.694585490559575,0.8914226988492545,0.004166126251220703
Gaussian,2,044,0,34.239951149404625,36.73468233958348,0.9447533936257394,0.004134178161621094
Gaussian,2,045,0,32.28450174792437,34.320445697630234,0.9038984111496703,0.003772258758544922
Gaussian,2,046,0,28.249911430389147,32.67547273080012,0.8774487052157282,0.003981113433837891
Gaussian,2,047,0,30.298294053009258,35.72670308148968,0.9059255373254921,0.0039348602294921875
Gaussian,2,048,0,33.67423131194165,39.38510954867275,0.9629273564867947,0.003576993942260742
Gaussian,2,049,0,29.51402364074889,35.800607309129276,0.8720701059652949,0.003448963165283203
Gaussian,2,050,0,38.77924029971591,40.83377307112204,0.9650661188499797,0.0036399364471435547
Gaussian,2,051,0,32.25194719193232,37.289942026732135,0.9290434100011898,0.003470182418823242
Gaussian,2,052,0,32.070829467431,35.6197108955308,0.926236792899857,0.003535032272338867
