DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
TV-ISO,0.05,001,1,16.213453433617726,25.058883757085155,0.49275872321156816,6.728225946426392
TV-ISO,0.05,002,1,35.8859401285062,40.18549259435852,0.9315623940427111,5.696897029876709
TV-ISO,0.05,003,1,19.2072870232142,28.273069791830277,0.6182654424749066,6.048498868942261
TV-ISO,0.05,004,1,19.861504578553273,30.236492604229035,0.6542002863934877,6.100018739700317
TV-ISO,0.05,005,1,25.972029923880662,30.358643522063026,0.6116459543163046,5.896449089050293
TV-ISO,0.05,006,1,15.908846353416163,25.07317358556092,0.46979851417696833,6.9397358894348145
TV-ISO,0.05,007,1,27.753972807751556,34.935682109068125,0.8643229033248024,7.416566848754883
TV-ISO,0.05,008,1,30.843012060257273,35.76693490980216,0.8905747246470073,6.641236066818237
TV-ISO,0.05,009,1,29.771606180407645,31.941328379514488,0.7926554433729384,5.8776938915252686
TV-ISO,0.05,010,1,28.849535777227434,33.56258986886131,0.8650930636789028,5.746693849563599
TV-ISO,0.05,011,1,25.781353150015146,33.535347125974276,0.8228971755999481,5.768794059753418
TV-ISO,0.05,012,1,32.483250043438005,35.3207631397427,0.8805130871000645,5.691123962402344
TV-ISO,0.05,013,1,32.0441896115566,33.99040365803604,0.8498051140774837,5.466153383255005
TV-ISO,0.05,014,1,24.55010462079649,32.67264360862224,0.7765802371586202,6.086034059524536
TV-ISO,0.05,015,1,25.891453409483457,33.74107789424856,0.8388927339145743,5.474881887435913
TV-ISO,0.05,016,1,17.432637381128465,29.353625643424547,0.6712157826774711,6.0313050746917725
TV-ISO,0.05,017,1,17.386617418092296,25.922312119039805,0.4944807065620523,5.516728162765503
TV-ISO,0.05,018,1,22.305109247395617,27.789782844957642,0.585510252920441,5.981068134307861
TV-ISO,0.05,019,1,23.490288279299904,29.48397128747889,0.6994853485661089,5.799966096878052
TV-ISO,0.05,020,1,21.649549680904133,27.31585504374053,0.6074069648451296,5.750176429748535
TV-ISO,0.05,021,1,17.645778488752374,25.035939747804505,0.5101341947228536,6.1419830322265625
TV-ISO,0.05,022,1,14.423953744196389,26.539115825188237,0.5601949242047423,5.54245400428772
TV-ISO,0.05,023,1,12.614985617908701,23.15290828429589,0.37609928827146333,6.0118560791015625
TV-ISO,0.05,024,1,27.117343648946793,30.316787192151573,0.7004302575726048,5.510257959365845
TV-ISO,0.05,025,1,27.18192388142818,28.993553111599315,0.5575644706321777,5.944941997528076
TV-ISO,0.05,026,1,25.03966496154502,31.166689054865714,0.6731149804260191,5.642790079116821
TV-ISO,0.05,027,1,21.177101706407193,29.94926612675397,0.5433654951765603,8.88344693183899
TV-ISO,0.05,028,1,20.005595164319598,27.852669918869047,0.619494076959061,9.406781911849976
TV-ISO,0.05,029,1,33.24102163535785,34.33736818096348,0.8222037215690862,8.28644609451294
TV-ISO,0.05,030,1,19.183178730286837,29.04217370698197,0.6075238224386333,6.720885992050171
TV-ISO,0.05,031,1,17.14862873325347,25.763916910349828,0.5289037947461893,6.188494920730591
TV-ISO,0.05,032,1,21.04109746234974,27.888878382187954,0.6335869281950395,6.00907301902771
TV-ISO,0.05,033,1,26.445437113610815,32.37161783268675,0.7593394491293776,6.543210029602051
TV-ISO,0.05,034,1,30.166576458580458,31.933880263039995,0.7602728741179863,6.591303825378418
TV-ISO,0.05,035,1,26.300826689553105,34.29585022260493,0.8461649908326194,6.364519119262695
TV-ISO,0.05,036,1,25.20909782429666,29.336322264536193,0.6792936279148075,6.1991589069366455
TV-ISO,0.05,037,1,24.460571243757528,29.44303291787374,0.6913427235754697,6.736285924911499
TV-ISO,0.05,038,1,19.834891611640508,28.14499643681488,0.6531121083760694,6.579513788223267
TV-ISO,0.05,039,1,26.42476558727114,30.64860460700263,0.7520919964686344,7.912816047668457
TV-ISO,0.05,040,1,23.329865462727906,27.664135311923953,0.6619332696184592,6.06015419960022
TV-ISO,0.05,041,1,23.32971516436054,30.924430677076515,0.6841108711740737,5.786107063293457
TV-ISO,0.05,042,1,22.830236407168208,29.27998351025789,0.6976198823369801,5.7586891651153564
