DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
TV-Chambolle,0.1,001,2,19.168460077498274,27.3428618346343,0.6845771785285044,0.03195691108703613
TV-Chambolle,0.1,002,2,35.71732627059568,39.55371076467597,0.9574030397908904,0.08206677436828613
TV-Chambolle,0.1,003,2,38.63405081932615,38.97494267483256,0.9494848171650755,0.06251382827758789
TV-Chambolle,0.1,004,2,20.30305336711292,29.25920768524324,0.7212389135600972,0.04555797576904297
TV-Chambolle,0.1,005,2,19.536047603341462,31.992387003798832,0.6346301975783658,0.09684205055236816
TV-Chambolle,0.1,006,2,19.525364155952037,28.337844887808895,0.6931595347926734,0.05296897888183594
TV-Chambolle,0.1,007,2,39.00683190757291,41.119267476073134,0.9789387924909053,0.12086200714111328
TV-Chambolle,0.1,008,2,32.55214829737727,40.10942423882283,0.9613355305717172,0.10085296630859375
TV-Chambolle,0.1,009,2,38.25273290318809,38.865456941019154,0.9637153434368311,0.09853792190551758
TV-Chambolle,0.1,010,2,41.41963551731928,41.98059185861726,0.9720034097023913,0.08712410926818848
TV-Chambolle,0.1,011,2,38.15657013354151,39.4652965725574,0.9500598124400659,0.07134795188903809
TV-Chambolle,0.1,012,2,37.38381120961619,43.069032107503126,0.9808974922789477,0.1039419174194336
TV-Chambolle,0.1,013,2,35.37097736844444,35.68745953550856,0.9003571126050044,0.04006314277648926
TV-Chambolle,0.1,014,2,37.468573027594886,39.868430108495104,0.9628426271567176,0.10019302368164062
TV-Chambolle,0.1,015,2,27.30415962209381,38.32702806024432,0.9246448463316344,0.07833099365234375
TV-Chambolle,0.1,016,2,39.15418058579703,39.385624297725336,0.96126003909651,0.07823514938354492
TV-Chambolle,0.1,017,2,13.456119114261181,25.866796106258114,0.5517564870284222,0.04730701446533203
TV-Chambolle,0.1,018,2,17.088389109511986,29.36074706235486,0.6567505391165613,0.05821394920349121
TV-Chambolle,0.1,019,2,29.423648049869104,37.02994536010401,0.9183246260839781,0.08856797218322754
TV-Chambolle,0.1,020,2,24.015415844178136,30.385972245477202,0.7495657659806755,0.059194087982177734
TV-Chambolle,0.1,021,2,19.431408680991325,30.334250083413078,0.7267235716338004,0.060285091400146484
TV-Chambolle,0.1,022,2,20.7282748514316,29.813354015819886,0.7245599791024526,0.0283811092376709
TV-Chambolle,0.1,023,2,34.65539680527859,37.51500150104195,0.9234019339509559,0.06489419937133789
TV-Chambolle,0.1,024,2,33.723408815603264,34.305150261846585,0.8472490003373225,0.042433977127075195
TV-Chambolle,0.1,025,2,20.34387222496038,29.156236277716935,0.7001513151676222,0.06354999542236328
TV-Chambolle,0.1,026,2,28.82059100595874,29.631864713968636,0.6951165880291958,0.02159404754638672
TV-Chambolle,0.1,027,2,37.79585757720371,38.42615049630459,0.9526470324858601,0.08350801467895508
TV-Chambolle,0.1,028,2,37.86619591686802,39.261662232752045,0.963393395336085,0.09323287010192871
TV-Chambolle,0.1,029,2,36.319800870267976,36.959336126178385,0.9541520089347975,0.10368990898132324
TV-Chambolle,0.1,030,2,31.636789874804027,32.4419625775825,0.7930226873131053,0.026055097579956055
TV-Chambolle,0.1,031,2,25.091543641618532,30.84207193393207,0.7570863744619464,0.02898120880126953
TV-Chambolle,0.1,032,2,28.453716856175216,34.249175148481726,0.863851619096295,0.041045188903808594
TV-Chambolle,0.1,033,2,32.35347673074786,33.08289395368853,0.862932408553818,0.06668901443481445
TV-Chambolle,0.1,034,2,25.7460377573205,32.257743577012725,0.8453375782470034,0.06631922721862793
TV-Chambolle,0.1,035,2,38.11504346935025,38.538610916258655,0.9513131068684063,0.06560063362121582
TV-Chambolle,0.1,036,2,35.45738319640055,40.34188052905283,0.9709303639879493,0.09848618507385254
TV-Chambolle,0.1,037,2,36.41551029617312,39.88647202834454,0.9697599710998817,0.0815579891204834
TV-Chambolle,0.1,038,2,37.508507313824545,38.79101558526959,0.9461990314753537,0.06719493865966797
TV-Chambolle,0.1,039,2,34.55034434989821,36.10314118772522,0.9099148436715458,0.04445910453796387
TV-Chambolle,0.1,040,2,39.844357440398575,41.3888652849111,0.9784086486938918,0.1021261215209961
TV-Chambolle,0.1,041,2,35.65563056653193,39.2618354849235,0.9595389790450403,0.10335397720336914
TV-Chambolle,0.1,042,2,34.24798651993755,34.490171659358204,0.8641831089089468,0.03863716125488281
