DenoiserType,Channel,PSNR,SI-PSNR,SSIM,TotalRuntime
TV-Chambolle,0,31.396378704866844,34.45243722418391,0.9159698693688887,9.334168195724487
TV-Chambolle,1,28.218120295856597,32.563666631615725,0.817485194329916,5.815277099609375
TV-Chambolle,2,30.17980133419426,34.373577668399314,0.8336984918339191,7.910852670669556
